Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature
126,0,768.8877,0,936,1551,2975,4263,509,-10.5,200,0,0,769.7544,1,4,735935.418621385,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
127,0,773.3057,1,437,2761,2975,4263,503,-10.5,200,1,1,775.6413,1,2,735935.41867252,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
128,0,777.6081,0,437,2761,2975,4263,508,-15,200,1,1,779.3395,1,5,735935.418722316,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
129,0,781.5408,1,936,1551,2975,4263,507,-6,200,0,1,784.1632,0,1,735935.418767833,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
130,1,786.4781,1,936,1551,2975,4263,507,-6,200,0,0,788.4196,1,1,735935.418824978,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
131,0,792.199,0,437,2761,2975,4263,502,-10.5,200,1,1,793.2672,1,1,735935.418891192,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
132,0,804.1777,1,437,2761,2975,4263,501,-6,200,1,0,806.1219,0,4,735935.419029835,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
133,1,815.4382,0,437,2761,2975,4263,501,-6,200,1,0,816.3953,0,4,735935.419160164,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
134,1,818.5543,0,437,2761,2975,4263,501,-6,200,1,0,822.8342,0,4,735935.41919623,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
135,1,826.3248,1,437,2761,2975,4263,501,-6,200,1,1,829.3101,1,4,735935.419286167,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
136,0,832.7201,1,936,1551,2975,4263,505,-6,200,0,0,834.8221,1,2,735935.419360186,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
137,0,850.1387,0,437,2761,2975,4263,510,-8.3,200,1,0,851.038,0,0,735935.419561791,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
1,0,702.785,1,936,1551,2975,4263,509,-15,200,0,0,704.0209,1,0,735935.663689641,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
2,0,711.8955,0,936,1551,2975,4263,505,-12.8,200,0,1,713.6347,0,5,735935.663795087,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
3,1,730.9337,1,936,1551,2975,4263,505,-12.8,200,0,0,732.6391,1,5,735935.664015436,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
4,0,736.685,0,437,2761,2975,4263,502,-6,200,1,0,738.2093,0,1,735935.664082002,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
5,1,741.7081,1,437,2761,2975,4263,502,-6,200,1,0,744.9506,0,1,735935.66414014,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
6,1,749.3706,1,437,2761,2975,4263,502,-6,200,1,0,753.1555,0,1,735935.664228826,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
7,1,758.2215,1,437,2761,2975,4263,502,-6,200,1,1,760.8018,1,1,735935.664331267,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
8,0,763.5372,1,437,2761,2975,4263,508,-6,200,1,0,766.8081,0,3,735935.664392792,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
9,1,771.4434,0,437,2761,2975,4263,508,-6,200,1,1,773.0246,1,3,735935.664484299,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
10,0,774.8823,0,437,2761,2975,4263,506,-12.8,200,1,0,775.6637,0,0,735935.664524101,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
11,1,777.2529,0,437,2761,2975,4263,506,-12.8,200,1,1,778.7585,1,0,735935.664551538,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
12,0,785.4009,0,936,1551,2975,4263,501,-12.8,200,0,0,786.3913,1,1,735935.664645844,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
13,0,789.844,1,437,2761,2975,4263,510,-12.8,200,1,1,794.5916,1,4,735935.664697269,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
14,0,803.5124,0,936,1551,2975,4263,507,-6,200,0,0,804.5554,1,0,735935.664855468,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
15,0,808.2429,1,437,2761,2975,4263,504,-10.5,200,1,1,813.2507,1,3,735935.664910219,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
16,0,815.6998,0,437,2761,2975,4263,503,-6,200,1,0,816.8706,0,2,735935.664996526,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
17,1,818.9854,1,437,2761,2975,4263,503,-6,200,1,1,823.4259,1,2,735935.665034553,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
18,0,825.4742,1,437,2761,2975,4263,510,-6,200,1,1,828.7757,1,4,735935.665109655,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
19,0,841.072,1,936,1551,2975,4263,504,-15,200,0,0,843.7507,1,2,735935.665290185,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
20,0,847.3073,0,936,1551,2975,4263,508,-10.5,200,0,0,848.3067,1,3,735935.665362353,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
21,0,851.7464,1,936,1551,2975,4263,509,-8.3,200,0,0,854.7149,1,4,735935.665413731,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
22,0,858.238,1,437,2761,2975,4263,507,-8.3,200,1,1,863.989,1,2,735935.665488866,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
23,0,868.5151,1,936,1551,2975,4263,511,-10.5,200,0,0,871.8038,1,0,735935.665607814,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,13
24,0,875.4032,0,437,2761,2975,4263,503,-6,200,1,1,876.9103,1,5,735935.665687537,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,12
25,0,879.2225,1,936,1551,2975,4263,506,-6,200,0,0,882.2227,1,1,735935.665731742,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,12
26,0,885.7457,0,437,2761,2975,4263,505,-8.3,200,1,1,887.4,1,5,735935.665807242,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,12
27,0,895.7086,1,936,1551,2975,4263,501,-8.3,200,0,0,898.6715,1,2,735935.665922553,02_12_2014 level23_spatial_Magnum 15_44 log.txt,37,12
