Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature
142,1,1076.4108,0,460,1105,2857,4205,509,-3.5,200,0,0,1077.473,1,0,736363.44308597,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
143,0,1081.8756,0,460,1105,2857,4205,510,-3.5,200,0,0,1082.8819,1,3,736363.44314922,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
144,0,1120.5614,0,730,2058,2857,4205,505,-0.5,200,1,1,1122.0263,1,5,736363.443596972,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
1,0,10.6127,0,460,1105,2857,4205,509,-3.5,200,0,0,11.0831,1,4,736363.644637253,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
2,0,17.0516,0,460,1105,2857,4205,501,-3.5,200,0,0,17.9945,1,2,736363.644711778,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
3,0,23.668,0,460,1105,2857,4205,511,-9.5,200,0,0,24.5696,1,5,736363.644788356,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
4,0,29.5226,0,460,1105,2857,4205,502,-0.5,200,0,1,30.542,0,2,736363.644856118,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
5,1,36.042,0,460,1105,2857,4205,502,-0.5,200,0,0,36.9598,1,2,736363.644931574,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
6,0,42.061,0,730,2058,2857,4205,505,-6.5,200,1,1,43.1904,1,3,736363.645001238,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
7,0,56.6178,0,460,1105,2857,4205,504,-9.5,200,0,0,57.4625,1,2,736363.64516972,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
8,0,62.2658,0,460,1105,2857,4205,510,2.5,200,0,0,63.2814,1,3,736363.64523509,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
9,0,68.2999,0,730,2058,2857,4205,508,-12.5,200,1,0,69.4567,0,5,736363.645304929,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
10,1,73.2964,0,730,2058,2857,4205,508,-12.5,200,1,1,74.3825,1,5,736363.645362759,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
11,0,81.1578,0,460,1105,2857,4205,506,-0.5,200,0,1,82.4038,0,1,736363.645453748,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
12,1,88.9434,0,460,1105,2857,4205,506,-0.5,200,0,0,89.8216,1,1,736363.645543859,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
13,0,94.6258,0,460,1105,2857,4205,503,2.5,200,0,0,95.575,1,5,736363.645609627,03_02_2016 level23_spatial_Robin 15_28_06.046 log.txt,37,37
