Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,SpatialCondition,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,VowelLocation
47,277.4079,1,936,1551,2975,4263,502,-10.0,200,1,1,280.256,1,4,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,67.0,0.0,2014-10-31,False,left
48,282.4366,0,437,2761,2975,4263,508,-8.0,200,0,0,283.6517,1,1,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,right
49,287.0426,1,936,1551,2975,4263,504,-8.0,200,1,0,289.4037,0,1,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,right
51,300.3523,1,437,2761,2975,4263,506,-10.0,200,0,1,303.3011,0,3,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,67.0,0.0,2014-10-31,False,right
53,311.0264,0,936,1551,2975,4263,503,-15.0,200,1,1,312.2085,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,left
54,313.8477,1,437,2761,2975,4263,501,-8.0,200,0,0,316.1975,1,4,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,left
55,320.3609,1,437,2761,2975,4263,511,-6.0,200,0,0,322.5347,1,1,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,right
56,326.9351,0,936,1551,2975,4263,508,-10.0,200,1,1,328.1099,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,67.0,0.0,2014-10-31,False,left
57,331.5678,0,936,1551,2975,4263,505,-15.0,200,1,1,333.1951,1,3,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,right
58,336.388,0,437,2761,2975,4263,502,-8.0,200,0,0,337.442,1,3,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,right
59,341.7727,0,936,1551,2975,4263,509,-8.0,200,1,1,342.9506,1,3,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,right
60,347.0509,1,437,2761,2975,4263,510,-6.0,200,0,0,349.3913,1,5,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,right
61,354.2437,0,936,1551,2975,4263,508,-13.0,200,1,1,355.3601,1,1,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,right
62,357.951,0,437,2761,2975,4263,509,-13.0,200,0,0,358.9452,1,5,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,right
63,362.6139,0,437,2761,2975,4263,506,-15.0,200,0,0,363.4803,1,4,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,left
64,365.7193,1,437,2761,2975,4263,510,-10.0,200,0,0,365.7846,1,5,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,67.0,0.0,2014-10-31,False,right
65,371.9762,0,936,1551,2975,4263,502,-13.0,200,1,0,373.1705,0,5,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,right
67,378.1541,0,437,2761,2975,4263,503,-13.0,200,0,0,379.3964,1,3,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,right
