Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature,fNum,day,meanTemp,treatment,vowel_level,SNR,SpatialCondition,VowelLocation
19,164.8371,0,730,2058,2857,4205,509,2.5,200,1,1,166.5428,1,1,736350.351852605,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,colocated,right
3,165.3593,0,730,2058,2857,4205,505,2.5,200,1,1,166.3256,1,1,736406.35118277,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,54.5,-12.5,colocated,right
24,522.1603,1,730,2058,2857,4205,506,2.5,200,1,1,525.8654,1,1,736355.358062943,26_01_2016 level23_spatial_Robin 08_26_54.478 log.txt,37.0,37.0,1509,2016-01-26,37.0,False,54.5,-12.5,colocated,right
24,522.1603,1,730,2058,2857,4205,506,2.5,200,1,1,525.8654,1,1,736355.358062943,26_01_2016 level23_spatial_Robin 08_26_54.478 log.txt,37.0,37.0,1509,2016-01-26,37.0,False,54.5,-12.5,colocated,right
24,522.1603,1,730,2058,2857,4205,506,2.5,200,1,1,525.8654,1,1,736355.358062943,26_01_2016 level23_spatial_Robin 08_26_54.478 log.txt,37.0,37.0,1509,2016-01-26,37.0,False,54.5,-12.5,colocated,right
3,165.3593,0,730,2058,2857,4205,505,2.5,200,1,1,166.3256,1,1,736406.35118277,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,54.5,-12.5,colocated,right
85,779.2443,0,730,2058,2857,4205,505,2.5,200,1,1,780.4108,1,1,736413.356977689,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,54.5,-12.5,colocated,right
53,511.2043,0,460,1105,2857,4205,508,-0.5,200,0,1,512.6994,0,0,736406.355185605,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,57.5,-9.5,colocated,left
28,384.9132,0,460,1105,2857,4205,506,-0.5,200,0,1,386.2437,0,0,736413.352413671,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,57.5,-9.5,colocated,left
53,511.2043,0,460,1105,2857,4205,508,-0.5,200,0,1,512.6994,0,0,736406.355185605,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,57.5,-9.5,colocated,left
18,176.5574,0,460,1105,2857,4205,509,-0.5,200,0,1,177.8386,0,0,736405.43506997,16_03_2016 level23_spatial_Robin 10_23_33.488 log.txt,37.0,37.0,1509,2016-03-16,37.0,False,57.5,-9.5,colocated,left
19,122.7154,0,460,1105,2857,4205,501,-0.5,200,0,1,123.9789,0,0,736364.351823037,04_02_2016 level23_spatial_Robin 08_24_34.795 log.txt,37.0,37.0,1509,2016-02-04,37.0,False,57.5,-9.5,colocated,left
56,480.4076,1,460,1105,2857,4205,507,-0.5,200,0,1,484.3739,0,0,736350.355505042,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,57.5,-9.5,colocated,left
33,406.3771,0,460,1105,2857,4205,502,-0.5,200,0,1,407.9064,0,0,736414.372722108,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,57.5,-9.5,colocated,left
102,722.828,1,730,2058,2857,4205,501,-0.5,200,1,1,727.759,1,0,736405.441392546,16_03_2016 level23_spatial_Robin 10_23_33.488 log.txt,37.0,37.0,1509,2016-03-16,37.0,False,57.5,-9.5,colocated,left
56,532.0888,1,730,2058,2857,4205,501,-0.5,200,1,1,535.7502,1,0,736406.355427324,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,57.5,-9.5,colocated,left
22,168.3008,0,730,2058,2857,4205,506,-0.5,200,1,1,169.4753,1,0,736411.366536711,22_03_2016 level23_spatial_Robin 08_45_00.471 log.txt,37.0,37.0,1509,2016-03-22,37.0,False,57.5,-9.5,colocated,left
23,347.9912,0,730,2058,2857,4205,510,-0.5,200,1,1,349.4121,1,0,736413.351986333,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,57.5,-9.5,colocated,left
88,664.2525,0,730,2058,2857,4205,508,-0.5,200,1,1,665.8162,1,0,736379.374752124,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,57.5,-9.5,colocated,left
6,61.755,0,730,2058,2857,4205,505,-0.5,200,1,1,62.9428,1,0,736405.433741238,16_03_2016 level23_spatial_Robin 10_23_33.488 log.txt,37.0,37.0,1509,2016-03-16,37.0,False,57.5,-9.5,colocated,left
17,469.2303,0,730,2058,2857,4205,511,-0.5,200,1,1,471.0442,1,0,736355.357450327,26_01_2016 level23_spatial_Robin 08_26_54.478 log.txt,37.0,37.0,1509,2016-01-26,37.0,False,57.5,-9.5,colocated,left
11,124.4271,0,460,1105,2857,4205,508,-0.5,200,0,0,125.6786,1,1,736404.393292918,15_03_2016 level23_spatial_Robin 09_24_16.081 log.txt,37.0,37.0,1509,2016-03-15,37.0,False,57.5,-9.5,colocated,right
15,301.3226,1,460,1105,2857,4205,510,-0.5,200,0,1,303.2452,0,1,736351.373995968,22_01_2016 level23_spatial_Robin 08_53_31.929 log.txt,37.0,37.0,1509,2016-01-22,37.0,False,57.5,-9.5,colocated,right
33,280.4023,1,460,1105,2857,4205,510,-0.5,200,0,1,283.7482,0,1,736350.353190165,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,57.5,-9.5,colocated,right
22,316.5593,0,460,1105,2857,4205,509,-0.5,200,0,0,317.7028,1,1,736406.35293277,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,57.5,-9.5,colocated,right
38,289.2088,0,460,1105,2857,4205,504,-0.5,200,0,0,289.2494,1,1,736364.353750044,04_02_2016 level23_spatial_Robin 08_24_34.795 log.txt,37.0,37.0,1509,2016-02-04,37.0,False,57.5,-9.5,colocated,right
57,589.1069,0,460,1105,2857,4205,511,-0.5,200,0,1,590.7024,0,1,736414.374837036,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,57.5,-9.5,colocated,right
57,589.1069,0,460,1105,2857,4205,511,-0.5,200,0,1,590.7024,0,1,736414.374837036,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,57.5,-9.5,colocated,right
64,499.5892,0,730,2058,2857,4205,509,-0.5,200,1,1,501.2072,1,1,736357.383661727,28_01_2016 level23_spatial_Robin 09_04_08.784 log.txt,37.0,37.0,1509,2016-01-28,37.0,False,57.5,-9.5,colocated,right
88,1034.1851,1,730,2058,2857,4205,505,-0.5,200,1,0,1038.6142,0,1,736355.363989156,26_01_2016 level23_spatial_Robin 08_26_54.478 log.txt,37.0,37.0,1509,2016-01-26,37.0,False,57.5,-9.5,colocated,right
3,189.4334,1,730,2058,2857,4205,505,-0.5,200,1,0,194.2113,0,1,736351.372700954,22_01_2016 level23_spatial_Robin 08_53_31.929 log.txt,37.0,37.0,1509,2016-01-22,37.0,False,57.5,-9.5,colocated,right
86,805.9397,0,730,2058,2857,4205,511,-0.5,200,1,0,806.945,0,1,736413.357286663,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,57.5,-9.5,colocated,right
