SpatialCondition,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
separated,False,-20.0,364,216,59.34065934065934,40
separated,False,-10.0,364,267,73.35164835164835,40
separated,False,-5.0,364,267,73.35164835164835,40
single_speaker,False,-20.0,364,263,72.25274725274726,40
single_speaker,False,-10.0,364,325,89.28571428571429,40
single_speaker,False,-5.0,364,319,87.63736263736264,40
colocated,False,-20.0,364,222,60.98901098901099,41
colocated,False,-10.0,364,273,75.0,41
colocated,False,-5.0,364,223,61.26373626373627,41
separated,False,-20.0,364,231,63.46153846153846,41
separated,False,-10.0,364,275,75.54945054945054,41
separated,False,-5.0,364,262,71.97802197802197,41
single_speaker,False,-20.0,364,279,76.64835164835165,41
single_speaker,False,-10.0,364,336,92.3076923076923,41
single_speaker,False,-5.0,364,310,85.16483516483517,41
colocated,False,-20.0,364,230,63.18681318681318,42
colocated,False,-10.0,364,264,72.52747252747253,42
colocated,False,-5.0,364,243,66.75824175824175,42
separated,False,-20.0,364,234,64.28571428571429,42
separated,False,-10.0,364,270,74.17582417582418,42
separated,False,-5.0,364,263,72.25274725274726,42
single_speaker,False,-20.0,364,262,71.97802197802197,42
single_speaker,False,-10.0,364,325,89.28571428571429,42
single_speaker,False,-5.0,364,327,89.83516483516483,42
colocated,False,-20.0,364,210,57.692307692307686,43
colocated,False,-10.0,364,278,76.37362637362637,43
colocated,False,-5.0,364,240,65.93406593406593,43
separated,False,-20.0,364,216,59.34065934065934,43
separated,False,-10.0,364,278,76.37362637362637,43
separated,False,-5.0,364,267,73.35164835164835,43
single_speaker,False,-20.0,364,282,77.47252747252747,43
single_speaker,False,-10.0,364,325,89.28571428571429,43
single_speaker,False,-5.0,364,319,87.63736263736264,43
colocated,False,-20.0,364,213,58.51648351648352,44
colocated,False,-10.0,364,275,75.54945054945054,44
colocated,False,-5.0,364,236,64.83516483516483,44
separated,False,-20.0,364,237,65.10989010989012,44
separated,False,-10.0,364,272,74.72527472527473,44
separated,False,-5.0,364,257,70.6043956043956,44
single_speaker,False,-20.0,364,271,74.45054945054946,44
single_speaker,False,-10.0,364,336,92.3076923076923,44
single_speaker,False,-5.0,364,312,85.71428571428571,44
colocated,False,-20.0,364,209,57.417582417582416,45
colocated,False,-10.0,364,279,76.64835164835165,45
colocated,False,-5.0,364,247,67.85714285714286,45
separated,False,-20.0,364,218,59.89010989010989,45
separated,False,-10.0,364,264,72.52747252747253,45
separated,False,-5.0,364,254,69.78021978021978,45
single_speaker,False,-20.0,364,272,74.72527472527473,45
single_speaker,False,-10.0,364,324,89.01098901098901,45
single_speaker,False,-5.0,364,314,86.26373626373626,45
colocated,False,-20.0,364,208,57.14285714285714,46
colocated,False,-10.0,364,273,75.0,46
colocated,False,-5.0,364,237,65.10989010989012,46
separated,False,-20.0,364,222,60.98901098901099,46
separated,False,-10.0,364,276,75.82417582417582,46
separated,False,-5.0,364,251,68.95604395604396,46
single_speaker,False,-20.0,364,279,76.64835164835165,46
single_speaker,False,-10.0,364,323,88.73626373626374,46
single_speaker,False,-5.0,364,315,86.53846153846155,46
colocated,False,-20.0,364,230,63.18681318681318,47
colocated,False,-10.0,364,269,73.9010989010989,47
colocated,False,-5.0,364,256,70.32967032967034,47
separated,False,-20.0,364,215,59.065934065934066,47
separated,False,-10.0,364,272,74.72527472527473,47
separated,False,-5.0,364,273,75.0,47
single_speaker,False,-20.0,364,269,73.9010989010989,47
single_speaker,False,-10.0,364,320,87.91208791208791,47
single_speaker,False,-5.0,364,320,87.91208791208791,47
colocated,False,-20.0,364,233,64.01098901098901,48
colocated,False,-10.0,364,270,74.17582417582418,48
colocated,False,-5.0,364,220,60.43956043956044,48
separated,False,-20.0,364,213,58.51648351648352,48
separated,False,-10.0,364,275,75.54945054945054,48
separated,False,-5.0,364,260,71.42857142857143,48
single_speaker,False,-20.0,364,271,74.45054945054946,48
single_speaker,False,-10.0,364,318,87.36263736263736,48
single_speaker,False,-5.0,364,321,88.18681318681318,48
colocated,False,-20.0,364,214,58.791208791208796,49
colocated,False,-10.0,364,273,75.0,49
colocated,False,-5.0,364,231,63.46153846153846,49
separated,False,-20.0,364,223,61.26373626373627,49
separated,False,-10.0,364,270,74.17582417582418,49
separated,False,-5.0,364,270,74.17582417582418,49
single_speaker,False,-20.0,364,281,77.1978021978022,49
single_speaker,False,-10.0,364,322,88.46153846153845,49
single_speaker,False,-5.0,364,308,84.61538461538461,49
colocated,False,-20.0,364,222,60.98901098901099,50
colocated,False,-10.0,364,288,79.12087912087912,50
colocated,False,-5.0,364,238,65.38461538461539,50
separated,False,-20.0,364,229,62.91208791208791,50
separated,False,-10.0,364,258,70.87912087912088,50
separated,False,-5.0,364,276,75.82417582417582,50
single_speaker,False,-20.0,364,279,76.64835164835165,50
single_speaker,False,-10.0,364,316,86.81318681318682,50
single_speaker,False,-5.0,364,314,86.26373626373626,50
colocated,False,-20.0,364,190,52.197802197802204,51
colocated,False,-10.0,364,279,76.64835164835165,51
colocated,False,-5.0,364,238,65.38461538461539,51
separated,False,-20.0,364,218,59.89010989010989,51
separated,False,-10.0,364,276,75.82417582417582,51
separated,False,-5.0,364,277,76.0989010989011,51
single_speaker,False,-20.0,364,282,77.47252747252747,51
single_speaker,False,-10.0,364,335,92.03296703296702,51
single_speaker,False,-5.0,364,305,83.79120879120879,51
colocated,False,-20.0,364,221,60.71428571428571,52
colocated,False,-10.0,364,276,75.82417582417582,52
colocated,False,-5.0,364,235,64.56043956043956,52
separated,False,-20.0,364,219,60.16483516483516,52
separated,False,-10.0,364,267,73.35164835164835,52
separated,False,-5.0,364,277,76.0989010989011,52
single_speaker,False,-20.0,364,276,75.82417582417582,52
single_speaker,False,-10.0,364,314,86.26373626373626,52
single_speaker,False,-5.0,364,319,87.63736263736264,52
colocated,False,-20.0,364,228,62.637362637362635,53
colocated,False,-10.0,364,276,75.82417582417582,53
colocated,False,-5.0,364,217,59.61538461538461,53
separated,False,-20.0,364,216,59.34065934065934,53
separated,False,-10.0,364,276,75.82417582417582,53
separated,False,-5.0,364,263,72.25274725274726,53
single_speaker,False,-20.0,364,278,76.37362637362637,53
single_speaker,False,-10.0,364,325,89.28571428571429,53
single_speaker,False,-5.0,364,324,89.01098901098901,53
colocated,False,-20.0,364,214,58.791208791208796,54
colocated,False,-10.0,364,287,78.84615384615384,54
colocated,False,-5.0,364,247,67.85714285714286,54
separated,False,-20.0,364,239,65.65934065934066,54
separated,False,-10.0,364,276,75.82417582417582,54
separated,False,-5.0,364,260,71.42857142857143,54
single_speaker,False,-20.0,364,284,78.02197802197803,54
single_speaker,False,-10.0,364,336,92.3076923076923,54
single_speaker,False,-5.0,364,328,90.10989010989012,54
colocated,False,-20.0,364,211,57.96703296703297,55
colocated,False,-10.0,364,276,75.82417582417582,55
colocated,False,-5.0,364,246,67.58241758241759,55
separated,False,-20.0,364,216,59.34065934065934,55
separated,False,-10.0,364,286,78.57142857142857,55
separated,False,-5.0,364,256,70.32967032967034,55
single_speaker,False,-20.0,364,282,77.47252747252747,55
single_speaker,False,-10.0,364,318,87.36263736263736,55
single_speaker,False,-5.0,364,307,84.34065934065934,55
colocated,False,-20.0,364,226,62.08791208791209,56
colocated,False,-10.0,364,284,78.02197802197803,56
colocated,False,-5.0,364,233,64.01098901098901,56
separated,False,-20.0,364,228,62.637362637362635,56
separated,False,-10.0,364,269,73.9010989010989,56
separated,False,-5.0,364,261,71.7032967032967,56
single_speaker,False,-20.0,364,282,77.47252747252747,56
single_speaker,False,-10.0,364,330,90.65934065934066,56
single_speaker,False,-5.0,364,315,86.53846153846155,56
colocated,False,-20.0,364,214,58.791208791208796,57
colocated,False,-10.0,364,266,73.07692307692307,57
colocated,False,-5.0,364,237,65.10989010989012,57
separated,False,-20.0,364,215,59.065934065934066,57
separated,False,-10.0,364,272,74.72527472527473,57
separated,False,-5.0,364,251,68.95604395604396,57
single_speaker,False,-20.0,364,277,76.0989010989011,57
single_speaker,False,-10.0,364,322,88.46153846153845,57
single_speaker,False,-5.0,364,316,86.81318681318682,57
colocated,False,-20.0,364,221,60.71428571428571,58
colocated,False,-10.0,364,275,75.54945054945054,58
colocated,False,-5.0,364,242,66.48351648351648,58
separated,False,-20.0,364,226,62.08791208791209,58
separated,False,-10.0,364,269,73.9010989010989,58
separated,False,-5.0,364,258,70.87912087912088,58
single_speaker,False,-20.0,364,268,73.62637362637363,58
single_speaker,False,-10.0,364,334,91.75824175824175,58
single_speaker,False,-5.0,364,317,87.08791208791209,58
colocated,False,-20.0,364,221,60.71428571428571,59
colocated,False,-10.0,364,257,70.6043956043956,59
colocated,False,-5.0,364,236,64.83516483516483,59
separated,False,-20.0,364,211,57.96703296703297,59
separated,False,-10.0,364,269,73.9010989010989,59
separated,False,-5.0,364,267,73.35164835164835,59
single_speaker,False,-20.0,364,267,73.35164835164835,59
single_speaker,False,-10.0,364,324,89.01098901098901,59
single_speaker,False,-5.0,364,316,86.81318681318682,59
colocated,False,-20.0,364,216,59.34065934065934,60
colocated,False,-10.0,364,277,76.0989010989011,60
colocated,False,-5.0,364,234,64.28571428571429,60
separated,False,-20.0,364,238,65.38461538461539,60
separated,False,-10.0,364,275,75.54945054945054,60
separated,False,-5.0,364,264,72.52747252747253,60
single_speaker,False,-20.0,364,280,76.92307692307693,60
