SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
colocated,False,704,420,59.65909090909091,139
separated,False,704,430,61.07954545454546,139
single_speaker,False,704,566,80.39772727272727,139
colocated,False,704,427,60.65340909090909,140
separated,False,704,444,63.06818181818182,140
single_speaker,False,704,561,79.6875,140
colocated,False,704,418,59.375,141
separated,False,704,417,59.23295454545454,141
single_speaker,False,704,542,76.98863636363636,141
colocated,False,704,411,58.38068181818182,142
separated,False,704,427,60.65340909090909,142
single_speaker,False,704,567,80.53977272727273,142
colocated,False,704,426,60.51136363636363,143
separated,False,704,425,60.36931818181818,143
single_speaker,False,704,563,79.9715909090909,143
colocated,False,704,407,57.8125,144
separated,False,704,430,61.07954545454546,144
single_speaker,False,704,553,78.55113636363636,144
colocated,False,704,433,61.50568181818182,145
separated,False,704,453,64.3465909090909,145
single_speaker,False,704,564,80.11363636363636,145
colocated,False,704,409,58.09659090909091,146
separated,False,704,431,61.22159090909091,146
single_speaker,False,704,542,76.98863636363636,146
colocated,False,704,417,59.23295454545454,147
separated,False,704,444,63.06818181818182,147
single_speaker,False,704,558,79.26136363636364,147
colocated,False,704,407,57.8125,148
separated,False,704,424,60.22727272727273,148
single_speaker,False,704,559,79.4034090909091,148
colocated,False,704,417,59.23295454545454,149
separated,False,704,457,64.91477272727273,149
single_speaker,False,704,562,79.82954545454545,149
colocated,False,704,414,58.80681818181818,150
separated,False,704,432,61.36363636363637,150
single_speaker,False,704,549,77.98295454545455,150
colocated,False,704,410,58.23863636363637,151
separated,False,704,423,60.08522727272727,151
single_speaker,False,704,576,81.81818181818183,151
colocated,False,704,404,57.38636363636363,152
separated,False,704,443,62.92613636363637,152
single_speaker,False,704,553,78.55113636363636,152
colocated,False,704,418,59.375,153
separated,False,704,448,63.63636363636363,153
single_speaker,False,704,563,79.9715909090909,153
colocated,False,704,427,60.65340909090909,154
separated,False,704,450,63.92045454545454,154
single_speaker,False,704,565,80.25568181818183,154
colocated,False,704,422,59.94318181818182,155
separated,False,704,423,60.08522727272727,155
single_speaker,False,704,548,77.8409090909091,155
colocated,False,704,408,57.95454545454546,156
separated,False,704,417,59.23295454545454,156
