Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,treatment,Mask,sessionDate,fNum,method,rxnTime,vowel,vowel_level,SNR
161,0,701,-10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.802,e,70.0,0.0
162,0,801,-6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.724,u,66.7,-3.299999999999997
163,0,601,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.639,e,60.0,-10.0
164,0,901,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.006,u,53.3,-16.700000000000003
165,0,501,3.3,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.843,u,56.7,-13.299999999999997
167,0,701,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.638,e,50.0,-20.0
168,0,801,-3.3,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.813,e,63.3,-6.700000000000003
169,0,901,-6.7,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.79,u,66.7,-3.299999999999997
171,0,701,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.763,e,60.0,-10.0
172,0,801,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.813,u,56.7,-13.299999999999997
173,0,501,10.0,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.922,u,50.0,-20.0
174,0,601,6.7,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.691,e,53.3,-16.700000000000003
175,0,901,0.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,1.734,u,60.0,-10.0
178,0,601,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.842,u,53.3,-16.700000000000003
179,0,801,3.3,200,8,0,False,Restricted,2021-03-11 12:35:00,1706,opto,1.065,e,56.7,-13.299999999999997
181,0,701,-3.3,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,1.074,e,63.3,-6.700000000000003
182,0,1001,-6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.894,e,66.7,-3.299999999999997
183,0,901,10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.781,e,50.0,-20.0
184,0,1001,10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.724,u,50.0,-20.0
186,0,701,-10.0,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.799,u,70.0,0.0
187,0,601,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.597,e,60.0,-10.0
188,0,801,3.3,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.917,e,56.7,-13.299999999999997
189,0,601,-3.3,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.801,u,63.3,-6.700000000000003
190,0,901,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.891,u,53.3,-16.700000000000003
191,0,701,-6.7,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.703,u,66.7,-3.299999999999997
192,0,1001,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.023,u,56.7,-13.299999999999997
193,0,801,6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.755,e,53.3,-16.700000000000003
194,0,601,-3.3,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,1.031,e,63.3,-6.700000000000003
195,0,501,-10.0,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,1.023,u,70.0,0.0
196,0,701,0.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.998,u,60.0,-10.0
198,0,1001,-6.7,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.622,e,66.7,-3.299999999999997
199,0,901,-3.3,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.682,e,63.3,-6.700000000000003
200,0,501,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.724,u,56.7,-13.299999999999997
201,0,601,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.953,e,60.0,-10.0
202,0,901,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.814,u,53.3,-16.700000000000003
203,0,801,10.0,200,8,0,False,Restricted,2021-03-11 12:35:00,1706,opto,1.073,e,50.0,-20.0
205,0,701,0.0,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.76,u,60.0,-10.0
206,0,801,-3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.701,e,63.3,-6.700000000000003
207,0,701,-10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.629,e,70.0,0.0
