Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
432,38,20.3,20,21.6,09-Jun-2015 17:11:42
433,38,20.3,20,21.6,09-Jun-2015 17:11:43
434,38,20.3,20,21.6,09-Jun-2015 17:11:44
435,38,20.3,19,21.6,09-Jun-2015 17:11:45
436,38,20.3,19,21.6,09-Jun-2015 17:11:46
437,38,20.3,19,21.4,09-Jun-2015 17:11:47
438,38,20.3,19,21.3,09-Jun-2015 17:11:48
439,38,20.3,19,21.3,09-Jun-2015 17:11:49
440,38,20.3,18,21.3,09-Jun-2015 17:11:50
441,38,20.3,18,21.3,09-Jun-2015 17:11:51
442,38,20.3,18,21.3,09-Jun-2015 17:11:52
443,38,20.3,18,21.3,09-Jun-2015 17:11:53
444,38,20.3,18,21.3,09-Jun-2015 17:11:54
445,38,20.3,17,21.3,09-Jun-2015 17:11:55
446,38,20.3,17,21.3,09-Jun-2015 17:11:56
447,38,20.3,17,21.3,09-Jun-2015 17:11:57
448,38,20.3,17,21.3,09-Jun-2015 17:11:58
449,37,20.3,17,21.3,09-Jun-2015 17:11:59
450,37,20.3,17,21.3,09-Jun-2015 17:12:00
451,37,20.3,17,21.3,09-Jun-2015 17:12:01
452,38,20.3,17,21.3,09-Jun-2015 17:12:02
453,38,20.3,17,21.3,09-Jun-2015 17:12:03
454,38,20.3,17,21.3,09-Jun-2015 17:12:04
