Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
394,5537,19.5,5537,19.5,10-Jun-2015 08:15:09
395,5537,19.5,5537,19.5,10-Jun-2015 08:15:10
396,5537,19.5,5537,19.5,10-Jun-2015 08:15:11
397,5537,19.5,5537,19.5,10-Jun-2015 08:15:12
398,5537,19.5,5537,19.5,10-Jun-2015 08:15:13
399,5537,19.5,5537,19.5,10-Jun-2015 08:15:14
400,5537,19.5,5537,19.5,10-Jun-2015 08:15:15
401,5537,19.5,5537,19.5,10-Jun-2015 08:15:16
402,5537,19.5,5537,19.5,10-Jun-2015 08:15:18
403,5537,19.5,5537,19.5,10-Jun-2015 08:15:19
404,5537,19.5,5537,19.5,10-Jun-2015 08:15:20
405,5537,19.5,5537,19.5,10-Jun-2015 08:15:21
406,5537,19.5,5537,19.5,10-Jun-2015 08:15:22
407,5537,19.5,5537,19.5,10-Jun-2015 08:15:23
408,5537,19.5,5537,19.5,10-Jun-2015 08:15:24
409,5537,19.5,5537,19.5,10-Jun-2015 08:15:25
410,5537,19.5,5537,19.5,10-Jun-2015 08:15:26
411,5537,19.5,5537,19.5,10-Jun-2015 08:15:27
412,5537,19.5,5537,19.5,10-Jun-2015 08:15:28
413,5537,19.5,5537,19.5,10-Jun-2015 08:15:29
414,5537,19.5,5537,19.5,10-Jun-2015 08:15:30
415,5537,19.5,5537,19.5,10-Jun-2015 08:15:31
416,5537,19.5,5537,19.5,10-Jun-2015 08:15:32
417,5537,19.5,5537,19.5,10-Jun-2015 08:15:33
418,5537,19.5,5537,19.5,10-Jun-2015 08:15:34
419,5537,19.5,5537,19.5,10-Jun-2015 08:15:35
420,5537,19.5,5537,19.5,10-Jun-2015 08:15:36
421,5537,19.5,5537,19.5,10-Jun-2015 08:15:37
422,5537,19.5,5537,19.5,10-Jun-2015 08:15:38
423,5537,19.5,5537,19.5,10-Jun-2015 08:15:39
424,5537,19.5,5537,19.5,10-Jun-2015 08:15:40
425,5537,19.5,5537,19.5,10-Jun-2015 08:15:41
426,5537,19.5,5537,19.5,10-Jun-2015 08:15:42
427,5537,19.5,5537,19.5,10-Jun-2015 08:15:43
428,5537,19.5,5537,19.5,10-Jun-2015 08:15:44
429,5537,19.5,5537,19.5,10-Jun-2015 08:15:45
430,5537,19.5,5537,19.5,10-Jun-2015 08:15:46
431,5537,19.5,5537,19.5,10-Jun-2015 08:15:47
432,5537,19.5,5537,19.5,10-Jun-2015 08:15:48
433,5537,19.5,5537,19.5,10-Jun-2015 08:15:49
434,5537,19.5,5537,19.5,10-Jun-2015 08:15:50
435,5537,19.5,5537,19.5,10-Jun-2015 08:15:51
436,5537,19.5,5537,19.5,10-Jun-2015 08:15:52
437,5537,19.5,5537,19.5,10-Jun-2015 08:15:53
438,5537,19.5,5537,19.5,10-Jun-2015 08:15:54
439,5537,19.5,5537,19.5,10-Jun-2015 08:15:55
440,5537,19.5,5537,19.5,10-Jun-2015 08:15:56
441,5537,19.5,5537,19.5,10-Jun-2015 08:15:57
442,5537,19.5,5537,19.5,10-Jun-2015 08:15:58
443,5537,19.5,5537,19.5,10-Jun-2015 08:15:59
444,5537,19.5,5537,19.5,10-Jun-2015 08:16:00
445,5537,19.5,5537,19.5,10-Jun-2015 08:16:01
