Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,Condition,SessionDate,originalFile,LeftTemperature,RightTemperature
74,0,1885.01,0,2,-90,250,951,4.5,8,1886.104,0,736148.685987,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
75,0,1917.9,0,4,-30,250,751,4.5,4,1918.915,1,736148.686367,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
76,0,1926.415,0,5,0,250,901,0.0,4,1927.26,0,736148.686463,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
77,0,1964.638,0,5,0,250,601,9.0,6,1966.141,0,736148.686913,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
78,0,1972.707,0,6,30,250,701,0.0,6,1973.829,1,736148.687002,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
79,0,1984.578,0,8,90,250,1001,0.0,8,1985.465,1,736148.687137,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
80,0,1994.741,0,8,90,250,651,9.0,8,1995.97,1,736148.687259,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
81,0,2003.596,0,2,-90,250,751,9.0,2,2004.542,1,736148.687358,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
82,0,2012.843,0,8,90,250,601,4.5,8,2014.098,1,736148.687469,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
83,0,2022.577,0,7,60,250,1001,4.5,8,2023.482,0,736148.687577,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
