Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	noiseAtten	opto	laserOnset	laserOffset	
152	1	1832.593	0	460	1105	2857	4205	1001	-10.0	200	0	8	1833.692	1	10	0	-150	100	
153	0	1844.300	0	460	1105	2857	4205	501	6.7	200	0	2	1845.241	0	10	1	-150	100	
154	1	1850.024	0	460	1105	2857	4205	501	6.7	200	0	2	1850.872	0	10	0	-150	100	
155	1	1860.486	0	460	1105	2857	4205	501	6.7	200	0	2	1861.282	0	10	0	-150	100	
156	1	1864.827	0	460	1105	2857	4205	501	6.7	200	0	2	1865.404	0	10	0	-150	100	
157	1	1868.932	0	460	1105	2857	4205	501	6.7	200	0	2	1869.601	0	10	0	-150	100	
158	1	1873.128	0	460	1105	2857	4205	501	6.7	200	0	2	1874.029	0	10	0	-150	100	
159	1	1877.627	0	460	1105	2857	4205	501	6.7	200	0	8	1878.472	1	10	0	-150	100	
160	0	1894.917	0	730	2058	2857	4205	901	-3.3	200	1	2	1895.612	1	10	1	-150	100	
161	0	1905.214	0	730	2058	2857	4205	701	-10.0	200	1	2	1906.016	1	10	1	-150	100	
162	0	1916.155	0	460	1105	2857	4205	801	-6.7	200	0	8	1916.879	1	10	0	-150	100	
163	0	1926.956	0	730	2058	2857	4205	601	0.0	200	1	2	1927.595	1	10	0	-150	100	
164	0	1942.120	0	460	1105	2857	4205	901	6.7	200	0	8	1943.126	1	10	0	-150	100	
165	0	1954.793	0	460	1105	2857	4205	501	3.3	200	0	2	1955.636	0	10	1	-150	100	
166	1	1962.688	0	460	1105	2857	4205	501	3.3	200	0	8	1963.607	1	10	0	-150	100	
167	0	1974.529	0	730	2058	2857	4205	701	10.0	200	1	2	1975.167	1	10	0	-150	100	
168	0	1984.078	0	730	2058	2857	4205	801	-3.3	200	1	2	1984.891	1	10	1	-150	100	
169	0	2005.427	0	460	1105	2857	4205	901	-6.7	200	0	2	2006.217	0	10	0	-150	100	
170	1	2023.780	0	460	1105	2857	4205	901	-6.7	200	0	8	2024.476	1	10	0	-150	100	
