Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,noiseAtten,opto,laserOnset,laserOffset,Mask,sessionDate
40,0,538.69,0,460,1105,2857,4205,501,3.3,200,0,2,539.789,0,10,1,-150,100,1,2021-03-11 12:35:00
41,1,547.07,0,460,1105,2857,4205,501,3.3,200,0,2,549.587,0,10,0,-150,100,1,2021-03-11 12:35:00
42,1,555.804,0,460,1105,2857,4205,501,3.3,200,0,8,556.906,1,10,0,-150,100,1,2021-03-11 12:35:00
43,0,573.563,0,730,2058,2857,4205,1001,-6.7,200,1,2,574.337,1,10,0,-150,100,1,2021-03-11 12:35:00
44,0,586.006,0,460,1105,2857,4205,701,10.0,200,0,2,586.743,0,10,0,-150,100,1,2021-03-11 12:35:00
45,1,593.192,0,460,1105,2857,4205,701,10.0,200,0,8,594.171,1,10,0,-150,100,1,2021-03-11 12:35:00
46,0,606.147,0,730,2058,2857,4205,501,-10.0,200,1,8,606.941,0,10,1,-150,100,1,2021-03-11 12:35:00
47,1,613.658,0,730,2058,2857,4205,501,-10.0,200,1,2,614.66,1,10,0,-150,100,1,2021-03-11 12:35:00
48,0,624.859,0,460,1105,2857,4205,601,0.0,200,0,2,625.744,0,10,0,-150,100,1,2021-03-11 12:35:00
49,1,629.925,0,460,1105,2857,4205,601,0.0,200,0,8,632.513,1,10,0,-150,100,1,2021-03-11 12:35:00
50,0,647.9,0,730,2058,2857,4205,801,-3.3,200,1,2,648.59,1,10,0,-150,100,1,2021-03-11 12:35:00
51,0,658.898,0,460,1105,2857,4205,601,6.7,200,0,2,659.735,0,10,0,-150,100,1,2021-03-11 12:35:00
52,1,672.503,0,460,1105,2857,4205,601,6.7,200,0,8,673.323,1,10,0,-150,100,1,2021-03-11 12:35:00
53,0,692.52,0,460,1105,2857,4205,1001,0.0,200,0,2,693.232,0,10,1,-150,100,1,2021-03-11 12:35:00
54,1,700.579,0,460,1105,2857,4205,1001,0.0,200,0,8,701.579,1,10,0,-150,100,1,2021-03-11 12:35:00
55,0,712.323,0,730,2058,2857,4205,701,3.3,200,1,2,713.465,1,10,1,-150,100,1,2021-03-11 12:35:00
56,0,723.577,0,460,1105,2857,4205,801,10.0,200,0,2,724.379,0,10,1,-150,100,1,2021-03-11 12:35:00
57,1,732.238,0,460,1105,2857,4205,801,10.0,200,0,8,732.914,1,10,0,-150,100,1,2021-03-11 12:35:00
58,0,745.861,0,730,2058,2857,4205,901,6.7,200,1,2,746.474,1,10,0,-150,100,1,2021-03-11 12:35:00
59,0,761.217,0,730,2058,2857,4205,801,-6.7,200,1,8,762.044,0,10,1,-150,100,1,2021-03-11 12:35:00
60,1,766.377,0,730,2058,2857,4205,801,-6.7,200,1,8,767.072,0,10,0,-150,100,1,2021-03-11 12:35:00
61,1,770.92,0,730,2058,2857,4205,801,-6.7,200,1,2,771.633,1,10,0,-150,100,1,2021-03-11 12:35:00
62,0,780.865,0,460,1105,2857,4205,601,-10.0,200,0,8,781.591,1,10,1,-150,100,1,2021-03-11 12:35:00
63,0,795.179,0,460,1105,2857,4205,701,3.3,200,0,8,796.085,1,10,0,-150,100,1,2021-03-11 12:35:00
64,0,807.805,0,460,1105,2857,4205,901,-10.0,200,0,8,808.349,1,10,1,-150,100,1,2021-03-11 12:35:00
