Mask,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
Clean,False,-4.0,154,120,77.92207792207793,44
Clean,False,2.0,154,119,77.27272727272727,44
Clean,True,-7.0,154,125,81.16883116883116,44
Clean,True,-4.0,154,143,92.85714285714286,44
Clean,True,2.0,154,128,83.11688311688312,44
Restricted,False,-7.0,154,101,65.5844155844156,44
Restricted,False,-4.0,154,109,70.77922077922078,44
Restricted,False,2.0,154,119,77.27272727272727,44
Restricted,True,-7.0,154,87,56.493506493506494,44
Restricted,True,-4.0,154,95,61.68831168831169,44
Restricted,True,2.0,154,82,53.246753246753244,44
Clean,False,-7.0,154,116,75.32467532467533,45
Clean,False,-4.0,154,122,79.22077922077922,45
Clean,False,2.0,154,120,77.92207792207793,45
Clean,True,-7.0,154,126,81.81818181818183,45
Clean,True,-4.0,154,142,92.20779220779221,45
Clean,True,2.0,154,118,76.62337662337663,45
Restricted,False,-7.0,154,111,72.07792207792207,45
Restricted,False,-4.0,154,106,68.83116883116884,45
Restricted,False,2.0,154,113,73.37662337662337,45
