Mask,treatment,rnded_SNR,nTrials,nCorrect,pCorrect,iteration
Restricted,True,-4.0,4,1,25.0,32
Restricted,True,-1.0,4,3,75.0,32
Restricted,True,2.0,4,3,75.0,32
Clean,False,-7.0,4,1,25.0,33
Clean,False,-4.0,4,3,75.0,33
Clean,False,2.0,4,3,75.0,33
Clean,True,-7.0,4,3,75.0,33
Clean,True,-4.0,4,4,100.0,33
Clean,True,2.0,4,3,75.0,33
Restricted,False,-7.0,4,2,50.0,33
Restricted,False,-4.0,4,3,75.0,33
Restricted,False,-1.0,4,3,75.0,33
Restricted,False,2.0,4,3,75.0,33
Restricted,True,-7.0,4,1,25.0,33
Restricted,True,-4.0,4,3,75.0,33
Restricted,True,-1.0,4,3,75.0,33
Restricted,True,2.0,4,4,100.0,33
Clean,False,-7.0,4,2,50.0,34
Clean,False,-4.0,4,3,75.0,34
Clean,False,2.0,4,4,100.0,34
Clean,True,-7.0,4,3,75.0,34
Clean,True,-4.0,4,4,100.0,34
Clean,True,2.0,4,3,75.0,34
Restricted,False,-7.0,4,3,75.0,34
Restricted,False,-4.0,4,2,50.0,34
Restricted,False,-1.0,4,3,75.0,34
Restricted,False,2.0,4,3,75.0,34
Restricted,True,-7.0,4,2,50.0,34
Restricted,True,-4.0,4,3,75.0,34
Restricted,True,-1.0,4,2,50.0,34
Restricted,True,2.0,4,1,25.0,34
Clean,False,-7.0,4,4,100.0,35
Clean,False,-4.0,4,3,75.0,35
Clean,False,2.0,4,4,100.0,35
Clean,True,-7.0,4,3,75.0,35
Clean,True,-4.0,4,3,75.0,35
Clean,True,2.0,4,3,75.0,35
Restricted,False,-7.0,4,3,75.0,35
Restricted,False,-4.0,4,3,75.0,35
Restricted,False,-1.0,4,3,75.0,35
Restricted,False,2.0,4,4,100.0,35
Restricted,True,-7.0,4,2,50.0,35
Restricted,True,-4.0,4,1,25.0,35
Restricted,True,-1.0,4,2,50.0,35
Restricted,True,2.0,4,2,50.0,35
Clean,False,-7.0,4,4,100.0,36
Clean,False,-4.0,4,2,50.0,36
Clean,False,2.0,4,3,75.0,36
Clean,True,-7.0,4,4,100.0,36
Clean,True,-4.0,4,4,100.0,36
Clean,True,2.0,4,4,100.0,36
Restricted,False,-7.0,4,2,50.0,36
Restricted,False,-4.0,4,3,75.0,36
Restricted,False,-1.0,4,3,75.0,36
Restricted,False,2.0,4,2,50.0,36
Restricted,True,-7.0,4,3,75.0,36
Restricted,True,-4.0,4,2,50.0,36
Restricted,True,-1.0,4,3,75.0,36
Restricted,True,2.0,4,3,75.0,36
Clean,False,-7.0,4,1,25.0,37
Clean,False,-4.0,4,1,25.0,37
Clean,False,2.0,4,3,75.0,37
Clean,True,-7.0,4,4,100.0,37
Clean,True,-4.0,4,3,75.0,37
Clean,True,2.0,4,3,75.0,37
Restricted,False,-7.0,4,2,50.0,37
Restricted,False,-4.0,4,3,75.0,37
Restricted,False,-1.0,4,3,75.0,37
Restricted,False,2.0,4,4,100.0,37
Restricted,True,-7.0,4,2,50.0,37
Restricted,True,-4.0,4,1,25.0,37
Restricted,True,-1.0,4,3,75.0,37
Restricted,True,2.0,4,4,100.0,37
Clean,False,-7.0,4,4,100.0,38
Clean,False,-4.0,4,4,100.0,38
Clean,False,2.0,4,4,100.0,38
Clean,True,-7.0,4,3,75.0,38
Clean,True,-4.0,4,2,50.0,38
Clean,True,2.0,4,4,100.0,38
Restricted,False,-7.0,4,3,75.0,38
Restricted,False,-4.0,4,4,100.0,38
Restricted,False,-1.0,4,3,75.0,38
Restricted,False,2.0,4,2,50.0,38
Restricted,True,-7.0,4,1,25.0,38
Restricted,True,-4.0,4,2,50.0,38
Restricted,True,-1.0,4,2,50.0,38
Restricted,True,2.0,4,1,25.0,38
Clean,False,-7.0,4,2,50.0,39
Clean,False,-4.0,4,4,100.0,39
Clean,False,2.0,4,2,50.0,39
Clean,True,-7.0,4,4,100.0,39
Clean,True,-4.0,4,4,100.0,39
Clean,True,2.0,4,4,100.0,39
Restricted,False,-7.0,4,4,100.0,39
Restricted,False,-4.0,4,3,75.0,39
Restricted,False,-1.0,4,3,75.0,39
Restricted,False,2.0,4,3,75.0,39
Restricted,True,-7.0,4,2,50.0,39
Restricted,True,-4.0,4,3,75.0,39
Restricted,True,-1.0,4,2,50.0,39
Restricted,True,2.0,4,1,25.0,39
Clean,False,-7.0,4,3,75.0,40
Clean,False,-4.0,4,4,100.0,40
Clean,False,2.0,4,3,75.0,40
Clean,True,-7.0,4,4,100.0,40
Clean,True,-4.0,4,3,75.0,40
Clean,True,2.0,4,4,100.0,40
Restricted,False,-7.0,4,1,25.0,40
Restricted,False,-4.0,4,4,100.0,40
Restricted,False,-1.0,4,3,75.0,40
Restricted,False,2.0,4,3,75.0,40
Restricted,True,-7.0,4,2,50.0,40
Restricted,True,-4.0,4,3,75.0,40
Restricted,True,-1.0,4,2,50.0,40
Restricted,True,2.0,4,2,50.0,40
Clean,False,-7.0,4,2,50.0,41
Clean,False,-4.0,4,3,75.0,41
Clean,False,2.0,4,3,75.0,41
Clean,True,-7.0,4,3,75.0,41
Clean,True,-4.0,4,4,100.0,41
Clean,True,2.0,4,3,75.0,41
Restricted,False,-7.0,4,1,25.0,41
Restricted,False,-4.0,4,2,50.0,41
Restricted,False,-1.0,4,3,75.0,41
Restricted,False,2.0,4,4,100.0,41
Restricted,True,-7.0,4,3,75.0,41
Restricted,True,-4.0,4,2,50.0,41
Restricted,True,-1.0,4,3,75.0,41
Restricted,True,2.0,4,4,100.0,41
Clean,False,-7.0,4,3,75.0,42
Clean,False,-4.0,4,3,75.0,42
Clean,False,2.0,4,4,100.0,42
Clean,True,-7.0,4,4,100.0,42
Clean,True,-4.0,4,4,100.0,42
Clean,True,2.0,4,4,100.0,42
Restricted,False,-7.0,4,3,75.0,42
Restricted,False,-4.0,4,3,75.0,42
Restricted,False,-1.0,4,3,75.0,42
Restricted,False,2.0,4,3,75.0,42
Restricted,True,-7.0,4,1,25.0,42
Restricted,True,-4.0,4,3,75.0,42
Restricted,True,-1.0,4,3,75.0,42
Restricted,True,2.0,4,3,75.0,42
Clean,False,-7.0,4,4,100.0,43
Clean,False,-4.0,4,1,25.0,43
Clean,False,2.0,4,4,100.0,43
Clean,True,-7.0,4,3,75.0,43
Clean,True,-4.0,4,3,75.0,43
Clean,True,2.0,4,3,75.0,43
Restricted,False,-7.0,4,3,75.0,43
Restricted,False,-4.0,4,3,75.0,43
Restricted,False,-1.0,4,3,75.0,43
Restricted,False,2.0,4,3,75.0,43
Restricted,True,-7.0,4,3,75.0,43
Restricted,True,-4.0,4,4,100.0,43
Restricted,True,-1.0,4,3,75.0,43
Restricted,True,2.0,4,4,100.0,43
Clean,False,-7.0,4,2,50.0,44
Clean,False,-4.0,4,4,100.0,44
Clean,False,2.0,4,3,75.0,44
Clean,True,-7.0,4,3,75.0,44
Clean,True,-4.0,4,4,100.0,44
Clean,True,2.0,4,3,75.0,44
Restricted,False,-7.0,4,3,75.0,44
Restricted,False,-4.0,4,3,75.0,44
Restricted,False,-1.0,4,3,75.0,44
Restricted,False,2.0,4,3,75.0,44
Restricted,True,-7.0,4,3,75.0,44
Restricted,True,-4.0,4,3,75.0,44
Restricted,True,-1.0,4,3,75.0,44
Restricted,True,2.0,4,3,75.0,44
Clean,False,-7.0,4,3,75.0,45
Clean,False,-4.0,4,3,75.0,45
Clean,False,2.0,4,4,100.0,45
Clean,True,-7.0,4,4,100.0,45
Clean,True,-4.0,4,4,100.0,45
Clean,True,2.0,4,4,100.0,45
Restricted,False,-7.0,4,2,50.0,45
Restricted,False,-4.0,4,3,75.0,45
Restricted,False,-1.0,4,3,75.0,45
Restricted,False,2.0,4,2,50.0,45
Restricted,True,-7.0,4,2,50.0,45
Restricted,True,-4.0,4,2,50.0,45
Restricted,True,-1.0,4,2,50.0,45
Restricted,True,2.0,4,2,50.0,45
Clean,False,-7.0,4,3,75.0,46
Clean,False,-4.0,4,4,100.0,46
Clean,False,2.0,4,4,100.0,46
Clean,True,-7.0,4,4,100.0,46
Clean,True,-4.0,4,4,100.0,46
