Mask,treatment,nTrials,nCorrect,pCorrect,iteration
Restricted,True,18,10,55.55555555555556,142
Clean,False,18,16,88.88888888888889,143
Clean,True,18,11,61.111111111111114,143
Restricted,False,18,14,77.77777777777779,143
Restricted,True,18,9,50.0,143
Clean,False,18,12,66.66666666666666,144
Clean,True,18,16,88.88888888888889,144
Restricted,False,18,13,72.22222222222221,144
Restricted,True,18,7,38.88888888888889,144
Clean,False,18,16,88.88888888888889,145
Clean,True,18,14,77.77777777777779,145
Restricted,False,18,12,66.66666666666666,145
Restricted,True,18,8,44.44444444444444,145
Clean,False,18,14,77.77777777777779,146
Clean,True,18,16,88.88888888888889,146
Restricted,False,18,12,66.66666666666666,146
Restricted,True,18,11,61.111111111111114,146
Clean,False,18,15,83.33333333333334,147
Clean,True,18,15,83.33333333333334,147
Restricted,False,18,13,72.22222222222221,147
Restricted,True,18,10,55.55555555555556,147
Clean,False,18,13,72.22222222222221,148
Clean,True,18,17,94.44444444444444,148
Restricted,False,18,11,61.111111111111114,148
Restricted,True,18,11,61.111111111111114,148
Clean,False,18,16,88.88888888888889,149
Clean,True,18,15,83.33333333333334,149
Restricted,False,18,11,61.111111111111114,149
Restricted,True,18,9,50.0,149
Clean,False,18,15,83.33333333333334,150
Clean,True,18,15,83.33333333333334,150
Restricted,False,18,12,66.66666666666666,150
Restricted,True,18,11,61.111111111111114,150
Clean,False,18,14,77.77777777777779,151
Clean,True,18,14,77.77777777777779,151
Restricted,False,18,13,72.22222222222221,151
Restricted,True,18,8,44.44444444444444,151
Clean,False,18,17,94.44444444444444,152
Clean,True,18,17,94.44444444444444,152
Restricted,False,18,14,77.77777777777779,152
Restricted,True,18,9,50.0,152
Clean,False,18,16,88.88888888888889,153
Clean,True,18,16,88.88888888888889,153
Restricted,False,18,13,72.22222222222221,153
Restricted,True,18,11,61.111111111111114,153
Clean,False,18,16,88.88888888888889,154
Clean,True,18,17,94.44444444444444,154
Restricted,False,18,13,72.22222222222221,154
Restricted,True,18,9,50.0,154
Clean,False,18,15,83.33333333333334,155
Clean,True,18,16,88.88888888888889,155
Restricted,False,18,12,66.66666666666666,155
Restricted,True,18,8,44.44444444444444,155
Clean,False,18,14,77.77777777777779,156
Clean,True,18,13,72.22222222222221,156
Restricted,False,18,13,72.22222222222221,156
Restricted,True,18,11,61.111111111111114,156
Clean,False,18,13,72.22222222222221,157
Clean,True,18,15,83.33333333333334,157
Restricted,False,18,13,72.22222222222221,157
Restricted,True,18,9,50.0,157
Clean,False,18,16,88.88888888888889,158
Clean,True,18,14,77.77777777777779,158
Restricted,False,18,12,66.66666666666666,158
Restricted,True,18,8,44.44444444444444,158
Clean,False,18,16,88.88888888888889,159
Clean,True,18,13,72.22222222222221,159
Restricted,False,18,13,72.22222222222221,159
Restricted,True,18,9,50.0,159
Clean,False,18,16,88.88888888888889,160
Clean,True,18,15,83.33333333333334,160
Restricted,False,18,14,77.77777777777779,160
Restricted,True,18,10,55.55555555555556,160
Clean,False,18,16,88.88888888888889,161
Clean,True,18,12,66.66666666666666,161
Restricted,False,18,11,61.111111111111114,161
Restricted,True,18,8,44.44444444444444,161
Clean,False,18,15,83.33333333333334,162
Clean,True,18,13,72.22222222222221,162
Restricted,False,18,15,83.33333333333334,162
Restricted,True,18,10,55.55555555555556,162
Clean,False,18,12,66.66666666666666,163
Clean,True,18,16,88.88888888888889,163
Restricted,False,18,13,72.22222222222221,163
Restricted,True,18,10,55.55555555555556,163
Clean,False,18,17,94.44444444444444,164
Clean,True,18,17,94.44444444444444,164
Restricted,False,18,16,88.88888888888889,164
Restricted,True,18,11,61.111111111111114,164
